row,disease,study_name,split,study_id
0,CRC,ThomasAM_2019_c,train,20
1,CRC,ThomasAM_2019_c,train,20
2,CRC,ThomasAM_2019_c,train,20
3,CRC,ThomasAM_2019_c,train,20
4,CRC,ThomasAM_2019_c,train,20
5,RA,ChengpingW_2017,val,-1
6,RA,ChengpingW_2017,train,-1
7,RA,ChengpingW_2017,train,-1
8,RA,ChengpingW_2017,val,-1
9,RA,ChengpingW_2017,val,-1
10,RA,ChengpingW_2017,train,-1
11,RA,ChengpingW_2017,val,-1
12,RA,ChengpingW_2017,test,-1
13,RA,ChengpingW_2017,val,-1
14,RA,ChengpingW_2017,train,-1
15,RA,ChengpingW_2017,train,-1
16,RA,ChengpingW_2017,train,-1
17,RA,ChengpingW_2017,val,-1
18,RA,ChengpingW_2017,train,-1
19,RA,ChengpingW_2017,train,-1
20,RA,ChengpingW_2017,test,-1
21,RA,ChengpingW_2017,train,-1
22,RA,ChengpingW_2017,train,-1
23,RA,ChengpingW_2017,test,-1
24,RA,ChengpingW_2017,train,-1
25,RA,ChengpingW_2017,train,-1
26,RA,ChengpingW_2017,train,-1
27,RA,ChengpingW_2017,train,-1
28,RA,ChengpingW_2017,train,-1
29,RA,ChengpingW_2017,train,-1
30,RA,ChengpingW_2017,train,-1
31,RA,ChengpingW_2017,train,-1
32,RA,ChengpingW_2017,train,-1
33,RA,ChengpingW_2017,val,-1
34,RA,ChengpingW_2017,val,-1
35,RA,ChengpingW_2017,train,-1
36,RA,ChengpingW_2017,train,-1
37,RA,ChengpingW_2017,train,-1
38,RA,ChengpingW_2017,train,-1
39,RA,ChengpingW_2017,train,-1
40,RA,ChengpingW_2017,train,-1
41,RA,ChengpingW_2017,val,-1
42,RA,ChengpingW_2017,train,-1
43,RA,ChengpingW_2017,train,-1
44,RA,ChengpingW_2017,train,-1
45,RA,ChengpingW_2017,val,-1
46,RA,ChengpingW_2017,train,-1
47,RA,ChengpingW_2017,train,-1
48,RA,ChengpingW_2017,train,-1
49,RA,ChengpingW_2017,test,-1
50,RA,ChengpingW_2017,test,-1
51,RA,ChengpingW_2017,train,-1
52,RA,ChengpingW_2017,test,-1
