disease,study_name,n
ACVD,JieZ_2017,214
BD,YeZ_2018,20
CAD,MetaCardis_2020_a,85
CDI,IaniroG_2022,22
CDI,VincentC_2016,6
CRC,YachidaS_2019,258
CRC,WirbelJ_2018,60
CRC,ZellerG_2014,53
CRC,VogtmannE_2016,52
CRC,YuJ_2015,45
CRC,ThomasAM_2019_c,40
CRC,ThomasAM_2018b,32
CRC,GuptaA_2019,30
CRC,HanniganGD_2017,27
CRC,ThomasAM_2018a,15
CRC,FengQ_2015,13
HF,MetaCardis_2020_a,96
IBD,VilaAV_2018,355
IBD,HMP_2019_ibdmdb,103
IBD,LiJ_2014,92
IBD,NielsenHB_2014,38
IBD,HallAB_2017,19
IBD,IjazUZ_2017,12
IBD,IaniroG_2022,3
IGT,MetaCardis_2020_a,52
IGT,KarlssonFH_2013,49
IGT,HMP_2019_t2d,19
MDRB,IaniroG_2022,5
ME/CFS,NagySzakalD_2017,50
MS,MetaCardis_2020_a,365
PD,BedarfJR_2017,31
RA,ChengpingW_2017,97
STH,RubelMA_2020,89
STH,RosaBA_2018,11
T1D,LiJ_2014,31
T1D,Heitz-BuschartA_2016,9
T1D,KosticAD_2015,4
T2D,MetaCardis_2020_a,549
T2D,QinJ_2012,170
T2D,LiJ_2014,79
T2D,KarlssonFH_2013,53
T2D,SankaranarayananK_2015,19
T2D,YuJ_2015,16
T2D,GhensiP_2019,3
T2D,HMP_2019_t2d,1
TKI_dependent_diarrhoea,IaniroG_2022,19
acute_diarrhoea,DavidLA_2015,21
acute_diarrhoea,KieserS_2018,18
adenoma,YachidaS_2019,67
adenoma,ZellerG_2014,42
adenoma,HanniganGD_2017,26
adenoma,ThomasAM_2018a,16
adenoma,FengQ_2015,8
arthritis,TettAJ_2016,7
cirrhosis,LoombaR_2017,9
cirrhosis,QinN_2014,9
fatty_liver,LoombaR_2017,77
fatty_liver,FengQ_2015,8
gestational_diabetes,ChuDM_2017,2
melanoma,LeeKA_2022,130
metabolic_syndrome,LiSS_2016,10
mucositis,GhensiP_2019,19
periodontitis,ShiB_2015,12
premature_born,BrooksB_2017,29
premature_born,OlmMR_2017,2
psoriasis,TettAJ_2016,21
schizophrenia,ZhuF_2020,90
schizophrenia,Castro-NallarE_2015,12
